x_m,y_m,z_m,u_ms,v_ms,w_ms,speed_ms
1.000000000000000056e-01,2.299999999999999822e+00,1.041666666666666713e-01,-9.782711864390919443e-03,-3.022570779382542649e-02,1.713861601773358778e-02,3.609746559057475102e-02
1.000000000000000056e-01,2.299999999999999822e+00,3.125000000000000555e-01,-1.183414094715457866e-02,-3.971486690317575091e-02,5.517504552001133850e-02,6.900437082699477365e-02
1.000000000000000056e-01,2.299999999999999822e+00,5.208333333333333703e-01,-1.543684200898447212e-02,-6.185106065696165112e-02,1.026484546448017954e-01,1.208327564717756042e-01
1.000000000000000056e-01,2.299999999999999822e+00,7.291666666666667407e-01,-1.881890617147336311e-02,-1.101742012746972504e-01,1.576187302035167992e-01,1.932256969633626142e-01
1.000000000000000056e-01,2.299999999999999822e+00,9.375000000000001110e-01,-8.678020728099552702e-03,-2.044736351606682434e-01,1.890028621406180109e-01,2.785800736178394299e-01
1.000000000000000056e-01,2.299999999999999822e+00,1.145833333333333703e+00,4.631029533715558255e-02,-3.263053823570407630e-01,1.104227549528776081e-01,3.475816894210228547e-01
1.000000000000000056e-01,2.299999999999999822e+00,1.354166666666666963e+00,5.034863599174545928e-02,-3.914809800122287520e-01,-7.776749757321259338e-02,4.022935825194878245e-01
1.000000000000000056e-01,2.299999999999999822e+00,1.562500000000000222e+00,-8.919306918648863686e-03,-1.978727445780452676e-01,-1.765756222872744141e-01,2.653528358033800938e-01
1.000000000000000056e-01,2.299999999999999822e+00,1.770833333333333703e+00,-1.651404984427663411e-02,-1.137778733866723346e-01,-1.439046972416419545e-01,1.841919656305929243e-01
1.000000000000000056e-01,2.299999999999999822e+00,1.979166666666667185e+00,-1.428564720282508860e-02,-6.960248625534916356e-02,-9.414987194899071543e-02,1.179524658366284534e-01
1.000000000000000056e-01,2.299999999999999822e+00,2.187500000000000444e+00,-1.070323052355406923e-02,-4.623136409090775056e-02,-4.860741526980802418e-02,6.793069253701143617e-02
1.000000000000000056e-01,2.299999999999999822e+00,2.395833333333333481e+00,-6.331842197863482395e-03,-2.899787942253314460e-02,-1.398071372164979252e-02,3.280898646391172679e-02
1.000000000000000056e-01,2.500000000000000000e+00,1.041666666666666713e-01,-9.278151028379599125e-03,-4.046852463619908524e-02,1.338604602070490347e-02,4.362306500928726793e-02
1.000000000000000056e-01,2.500000000000000000e+00,3.125000000000000555e-01,-1.066750633008067307e-02,-5.102849949659256368e-02,4.109852497952468792e-02,6.638367425556281065e-02
1.000000000000000056e-01,2.500000000000000000e+00,5.208333333333333703e-01,-1.307104761318002122e-02,-7.299599703941343776e-02,7.015438899284986984e-02,1.020828397158120293e-01
1.000000000000000056e-01,2.500000000000000000e+00,7.291666666666667407e-01,-1.591352740180015934e-02,-1.131423189195989998e-01,9.576054012541351801e-02,1.490788574211079076e-01
1.000000000000000056e-01,2.500000000000000000e+00,9.375000000000001110e-01,-1.587654917900783308e-02,-1.776335282133206239e-01,1.012670365836912389e-01,2.050871713632734517e-01
1.000000000000000056e-01,2.500000000000000000e+00,1.145833333333333703e+00,-4.248020251800652299e-03,-2.517325318715858407e-01,5.597144899356987224e-02,2.579149402050576745e-01
1.000000000000000056e-01,2.500000000000000000e+00,1.354166666666666963e+00,-1.862032657379516717e-03,-2.850534688000486705e-01,-3.870208808161124114e-02,2.876748144388630024e-01
1.000000000000000056e-01,2.500000000000000000e+00,1.562500000000000222e+00,-1.631354467978143180e-02,-1.780537980741634385e-01,-9.562334683626068366e-02,2.027636831605255652e-01
1.000000000000000056e-01,2.500000000000000000e+00,1.770833333333333703e+00,-1.562039113873918590e-02,-1.157878831158440230e-01,-8.708765610956067937e-02,1.457226486941294308e-01
1.000000000000000056e-01,2.500000000000000000e+00,1.979166666666667185e+00,-1.317903217696837076e-02,-7.948573308519929492e-02,-6.237125981600900176e-02,1.018913279148388196e-01
1.000000000000000056e-01,2.500000000000000000e+00,2.187500000000000444e+00,-1.049110705609402998e-02,-5.797987358352289095e-02,-3.469416432053537558e-02,6.837699983125927750e-02
1.000000000000000056e-01,2.500000000000000000e+00,2.395833333333333481e+00,-6.693668484430695051e-03,-3.948570847351964841e-02,-1.051234436069966791e-02,4.140574543940944707e-02
1.000000000000000056e-01,2.699999999999999734e+00,1.041666666666666713e-01,-8.590394447015871696e-03,-4.465357418872124839e-02,9.586437880476167406e-03,4.647188780132761182e-02
1.000000000000000056e-01,2.699999999999999734e+00,3.125000000000000555e-01,-9.452093420182831190e-03,-5.352702452593918053e-02,2.840698568657536519e-02,6.133058992396580450e-02
1.000000000000000056e-01,2.699999999999999734e+00,5.208333333333333703e-01,-1.092500312232161375e-02,-7.069433125891613767e-02,4.550997940626907295e-02,8.478326716355732984e-02
1.000000000000000056e-01,2.699999999999999734e+00,7.291666666666667407e-01,-1.278054305594788533e-02,-9.844243560760727874e-02,5.707942103090349328e-02,1.145090202315345584e-01
1.000000000000000056e-01,2.699999999999999734e+00,9.375000000000001110e-01,-1.403602454376069210e-02,-1.369725696195435993e-01,5.495397294802788907e-02,1.482512527972237870e-01
